coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, 0, 9, -8, -14]",[1],-5662688,S_4,1/4,False
"[1, 12, -15, 4, -11]",[1],-109972400,S_4,1/16,False
"[1, -5, -31, 19, 12]",[1],334217632,S_4,1/196,False
"[1, -13, 4, -22, -18]",[1],-378538924,S_4,1,True
"[1, 10, -28, 1, -5]",[1],-106658979,S_4,1,True
"[1, 32, 10, 26, -11]",[1],-6952203952,S_4,1,True
"[1, -15, -25, 3, 24]",[1],-639290928,S_4,1/4,False
"[1, -31, 20, 23, 23]",[1],-16017311228,S_4,1/4,False
"[1, 19, -8, 6, -6]",[1],-113481612,S_4,1,True
"[1, -18, -20, 9, 25]",[1],-1413164115,S_4,1,True
"[1, 25, 23, -4, 18]",[1],-3609511332,S_4,1,True
"[1, -16, 29, 2, 31]",[1],-1251370704,S_4,1,True
"[1, 20, -32, -31, -27]",[1],-9630590587,S_4,1,True
"[1, 30, 1, 24, -13]",[1],-5303522800,S_4,1/16,False
"[1, 24, 17, 10, -29]",[1],-7230825296,S_4,1,True
"[1, -18, -29, -27, -22]",[1],-833891935,S_4,1,True
"[1, 18, -22, -29, -2]",[1],675234349,S_4,1,True
"[1, 4, 19, -19, 6]","[0, 1]",7548337,S_4,1,True
"[1, 2, -8, -15, 16]",[1],-952603,S_4,1,True
"[1, -23, -23, -29, -3]",[1],-798946099,S_4,1,True
"[1, -18, 7, -14, -25]",[1],-1879249088,S_4,1,True
"[1, -22, 15, -14, -14]",[1],-1539324976,S_4,1,True
"[1, -23, 16, -22, 18]",[1],-1433771180,S_4,1,True
"[1, 12, -11, -16, 8]",[1],54823552,S_4,1/4,False
"[1, -3, 22, -28, -16]",[1],-82811072,S_4,1/64,False
"[1, -20, -4, 15, 27]",[1],-2930270427,S_4,1/9,False
"[1, -20, 24, 0, 21]",[1],-1678634496,S_4,1,True
"[1, 10, 31, -18, -13]",[1],-108001728,S_4,1/9,False
"[1, -18, 2, -27, 20]",[1],-1505818531,S_4,1,True
"[1, 1, -11, -3, -32]",[1],-33412816,S_4,1/4,False
"[1, -24, 14, -3, 18]",[1],-2472844491,S_4,1/9,False
"[1, -3, -16, -11, -24]",[1],-42278399,S_4,1,True
"[1, 13, -24, 28, -13]",[1],-48398819,S_4,1,True
"[1, -22, -25, -31, -28]",[2],-3466813223,S_4,1,True
"[1, -1, -20, 14, 11]",[1],27704245,S_4,1,True
"[1, -27, -12, 16, 31]",[1],-12175914731,S_4,1,True
"[1, -23, -14, 17, 11]",[1],-43501648,S_4,1/4,False
"[1, -20, 17, -30, -9]",[1],-1395176400,D_4,1/23409,False
"[1, 1, 9, -32, 24]",[1],4449632,S_4,1/4,False
"[1, -23, -24, -27, 2]",[1],-1225326631,S_4,1,True
"[1, 12, -24, -22, -19]",[1],-958058032,S_4,1/4,False
"[1, -16, 1, -11, -7]","[0, 1]",-112828687,S_4,1,True
"[1, -23, 30, -32, -12]",[1],-3006536368,S_4,1/4,False
"[1, 5, 3, 17, -6]",[1],-5056096,S_4,1/4,False
"[1, 10, -28, 22, -2]",[1],-8377392,S_4,1,True
"[1, -28, 29, -31, -21]",[1],-12517962167,S_4,1,True
"[1, 12, 24, -1, 3]",[1],-9701883,S_4,1,True
"[1, -20, 2, 2, 28]",[1],-3301425072,S_4,1/4,False
"[1, 3, 20, 24, 24]",[1],11773248,S_4,1/64,False
"[1, -26, 21, -11, -12]",[1],-2039363887,S_4,1,True
"[1, -7, 0, 4, 26]",[1],-35730828,S_4,1,True
"[1, 23, 4, 26, 3]",[1],-839005723,S_4,1,True
"[1, -5, 14, 22, -28]",[1],-63510800,S_4,1/4,False
"[1, 24, 7, 28, -6]",[1],-1710323488,S_4,1,True
"[1, 31, 11, -31, -13]",[3],1892008277,S_4,1,True
"[1, 29, -7, 4, -15]",[1],-4325789751,S_4,1,True
"[1, 18, -27, 14, -20]",[1],-1293511568,S_4,1/4,False
"[1, 21, 30, -1, -9]",[1],63505512,S_4,1,True
"[1, -18, -26, -14, 21]",[1],-2353636096,S_4,1/16,False
"[1, 1, 12, -20, 18]",[1],10908500,S_4,1/25,False
"[1, -11, 26, 4, 28]",[1],-45408432,S_4,1/4,False
"[1, 12, -31, -31, -28]",[1],-2749573815,S_4,1,True
"[1, 29, -12, -27, 14]",[2],255738425,S_4,1,True
"[1, -24, 1, -4, 10]",[1],-883286176,S_4,1/4,False
"[1, 22, -27, 14, -14]",[1],-1069889296,S_4,1/4,False
"[1, 27, -27, 24, 28]",[1],-20338596896,S_4,1/4,False
"[1, 31, 23, 13, -29]",[1],-21495197451,S_4,1/49,False
"[1, 5, 29, 7, 3]",[1],18204669,S_4,1/81,False
"[1, 23, 8, -18, -26]",[1],-3571669484,S_4,1,True
"[1, 1, -3, -22, -5]",[1],-4649575,S_4,1,True
"[1, -20, 30, 5, -31]",[1],-1199509371,S_4,1,True
"[1, 8, 5, 4, 9]",[1],-4936752,S_4,1/144,False
"[1, 22, 9, 15, 2]",[1],-103868887,S_4,1,True
"[1, -6, -6, 21, 25]",[1],-4657595,S_4,1,True
"[1, -23, 25, 25, 24]",[1],-5710553488,S_4,1/4,False
"[1, 20, 19, 14, -22]",[1],-2130124352,S_4,1/16,False
"[1, -14, -18, 17, 25]",[1],-198953563,S_4,1,True
"[1, -30, 8, -4, -4]",[1],-391968768,S_4,1/64,False
"[1, 6, -2, -7, -15]",[1],-9725323,S_4,1,True
"[1, -3, 16, -17, 31]",[1],1753508,S_4,1/4,False
"[1, -28, 11, -12, 12]",[1],-1817654016,S_4,1/256,False
"[1, -25, 16, 28, -28]",[1],-2340090928,S_4,1/4,False
"[1, 17, 7, -28, -28]",[1],-641615408,S_4,1/5776,False
"[1, -18, 7, 21, -9]",[1],131154777,S_4,1/9,False
"[1, 30, 18, -9, -5]",[1],61379365,S_4,1,True
"[1, 30, -16, 26, 10]",[1],-6383575088,S_4,1,True
"[1, 24, 21, 17, 5]",[1],-69948031,S_4,1,True
"[1, -6, 18, -17, -1]",[2],-395275,S_4,1,True
"[1, -19, -26, 5, 32]",[1],-3316892063,S_4,1,True
"[1, -14, 11, -20, 26]",[1],-400947968,S_4,1/4,False
"[1, 24, 26, -14, 14]",[1],-2631710256,S_4,1,True
"[1, -11, 9, -10, -27]",[1],-238796159,S_4,1,True
"[1, -28, -8, -9, 15]",[1],-4440159963,S_4,1/9,False
"[1, -20, 15, -24, 20]",[1],-991913152,S_4,1/64,False
"[1, 10, 20, 23, -13]",[1],-41146339,S_4,1,True
"[1, 11, -32, 28, -31]",[2],-613261771,S_4,1,True
"[1, 19, 31, -17, -8]",[1],562658996,S_4,1,True
"[1, 7, 30, 16, -2]",[1],-15422508,S_4,1,True
"[1, 30, 5, -12, -7]",[1],-645291760,S_4,1,True
"[1, 28, 13, -14, 31]",[1],-16514413456,S_4,1,True
"[1, -5, 17, -32, -15]",[1],-24256655,S_4,1,True
"[1, -26, 23, 18, 16]",[1],-4371581168,S_4,1/16,False
"[1, 22, -1, 5, 12]",[1],-941315487,S_4,1,True
"[1, 7, -9, -29, -19]",[1],-24856331,S_4,1,True
"[1, 22, 26, 7, 17]",[1],-1337090219,S_4,1,True
"[1, 2, -25, -29, -28]",[1],-193723663,S_4,1,True
"[1, 1, -27, -15, -22]",[1],-219154252,S_4,1,True
"[1, -25, 29, -28, 14]",[1],-521484740,S_4,1,True
"[1, -16, -32, -2, 14]",[2],-1313200,S_4,1/49,False
"[1, 6, -24, 6, -12]",[1],-92431152,S_4,1/4,False
"[1, 17, 0, 32, 22]",[1],-1850611212,S_4,1/9,False
"[1, -10, -32, 23, -6]",[1],-150105931,S_4,1,True
"[1, -28, -20, 16, -2]",[1],79404032,S_4,1,True
"[1, 27, -27, 31, 32]",[1],-29219130832,S_4,1/4,False
"[1, -25, -5, -11, -12]",[1],-1481837360,S_4,1/4,False
"[1, 24, -30, 1, -25]",[1],-8881423483,S_4,1,True
"[1, -1, -20, -18, -15]",[1],-24392115,S_4,1,True
"[1, -21, 14, 22, -7]",[1],497994309,S_4,1/9,False
"[1, 11, -8, 0, 30]",[1],-472289580,S_4,1/289,False
"[1, 24, -29, 0, -20]",[1],-5940613440,S_4,1/144,False
"[1, 29, 27, -13, 23]",[1],-12477635411,S_4,1,True
"[1, -4, 28, 3, -15]",[1],-147504843,S_4,1,True
"[1, 19, -18, 9, -20]",[1],-1532472503,S_4,1,True
"[1, 32, 15, 30, 12]",[1],-4142435040,S_4,1/4,False
"[1, 26, 17, -19, 1]",[2],373638417,S_4,1,True
"[1, 15, -18, 15, 22]",[1],-1380018983,S_4,1,True
"[1, 1, -12, 31, -6]",[1],-15555559,S_4,1,True
"[1, 14, -4, -15, 26]",[1],-632070683,S_4,1,True
"[1, 4, 0, -21, 27]",[1],7734069,S_4,1/9,False
"[1, 9, 31, -9, -27]",[1],-170317107,S_4,1/9,False
"[1, 8, 2, -22, -5]",[2],13007184,S_4,1/4,False
"[1, 30, -18, -1, 6]",[1],-678943971,S_4,1/9,False
"[1, -23, 31, 25, -24]",[1],1941414452,S_4,1,True
"[1, -4, -15, -28, 14]",[1],-95198432,S_4,1/4,False
"[1, 16, 19, 16, -29]",[1],-1316621392,S_4,1,True
"[1, 18, -25, 2, -4]",[1],-142326960,S_4,1/16,False
"[1, -3, 24, 22, -4]",[1],-80727520,S_4,1/4,False
"[1, 9, -25, -29, -13]",[2],-234611547,S_4,1,True
"[1, 30, 16, -27, 9]",[1],-1379862099,S_4,1/9,False
"[1, -15, -7, -5, 19]",[1],-623163659,S_4,1,True
"[1, 5, -14, -20, 19]",[1],33646925,S_4,1,True
"[1, 1, 29, -2, 14]",[1],139268392,S_4,1,True
"[1, -5, -16, 21, 20]",[1],55625137,S_4,1,True
"[1, -27, 28, 32, 16]",[1],-5386578688,S_4,1/64,False
"[1, 32, -21, 20, -4]",[1],-527917568,S_4,1/64,False
"[1, -1, 13, -18, -5]",[1],-8966743,S_4,1,True
"[1, 30, 25, -32, 28]",[1],-21932258560,S_4,1/64,False
"[1, 12, 29, 27, 12]",[1],-1118823,S_4,1,True
"[1, 26, -30, 11, 32]",[1],-17097904931,S_4,1,True
"[1, -5, -31, -6, 8]",[1],106992148,S_4,1/4,False
"[1, -12, 17, 9, 1]","[3, 1]",113337,S_4,1,True
"[1, -22, -12, -1, -27]",[1],-5272304179,S_4,1,True
"[1, -17, -23, 13, -3]",[1],-97668643,S_4,1,True
"[1, 19, 26, 1, -26]",[1],-1117265871,S_4,1,True
"[1, -17, -28, -13, 27]",[1],-2921092548,S_4,1,True
"[1, -28, -5, 13, 8]",[1],-685599343,S_4,1,True
"[1, -8, 25, -12, 23]",[1],28896432,S_4,1,True
"[1, 1, -9, -24, 4]",[1],-6964448,S_4,1/4,False
"[1, -8, 1, 16, 3]",[1],4762544,S_4,1,True
"[1, -26, -12, 7, -6]",[1],-654964411,S_4,1,True
"[1, -26, -27, -5, 30]",[1],-13228524535,S_4,1,True
"[1, 23, -12, 21, -5]",[1],-385252700,S_4,1/4,False
"[1, 9, 27, 24, -3]",[2],-93663,S_4,1,True
"[1, -15, 15, 18, 18]",[1],-455275080,S_4,1/81,False
"[1, 20, 6, 25, -11]",[1],-1169380075,S_4,1,True
"[1, 6, -28, -5, 15]",[1],172147885,S_4,1,True
"[1, 16, -25, 3, 1]",[2],12857689,S_4,1,True
"[1, -1, 27, -4, 27]",[1],160932785,S_4,1/169,False
"[1, -9, 2, -3, 4]",[1],-2341503,S_4,1,True
"[1, -31, -16, 6, 27]",[1],-17809147899,S_4,1/9,False
"[1, 6, 10, -14, 13]",[1],7250432,D_4,1/3136,False
"[1, -7, -7, 11, -3]",[2],-72995,S_4,1,True
"[1, 24, -31, -6, 19]",[1],-1486517328,S_4,1,True
"[1, 0, 1, -32, 9]",[1],-26812144,S_4,1/16,False
"[1, -28, -19, 13, -15]",[1],-5903280039,S_4,1,True
"[1, -8, -27, 1, 3]",[1],38836481,S_4,1,True
"[1, -5, -2, 21, 13]",[2],86948,S_4,1/4,False
