,coefficients,signature,discriminant,number,type_i,source,type_II,gal_group,type_I,disc_ratio,is_OK
131,"[1, 8, -2, -4, 2]","[1, 1]",-193280,2,False,df8,True,S_4,,1,True
132,"[1, 8, 0, 7, -7]","[1, 1]",-6669243,2,False,df8,False,S_4,,1,True
133,"[1, 8, 1, -7, 8]","[1, 1]",-5662127,2,False,df8,False,S_4,,1,True
134,"[1, 8, 5, 1, -3]","[1, 1]",-655647,2,False,df8,False,S_4,,1,True
135,"[1, -4, -7, -1, -8]","[1, 1]",-2338983,2,False,df8,False,S_4,,1/9,False
136,"[1, -4, -7, 3, -8]","[1, 1]",-2795159,2,False,df8,False,S_4,,1,True
137,"[1, -4, -7, 7, 5]","[1, 1]",597497,2,False,df8,False,S_4,,1,True
138,"[1, -4, -6, 3, -5]","[1, 1]",-984731,2,False,df8,False,S_4,,1,True
139,"[1, -4, -6, 7, 4]","[1, 1]",404789,2,False,df8,False,S_4,,1,True
140,"[1, -4, -5, 7, 4]","[1, 1]",244193,2,False,df8,False,S_4,,1,True
141,"[1, -4, -4, 8, 2]","[1, 1]",240640,2,False,df8,False,S_4,,1,True
142,"[1, -4, -3, -7, 4]","[1, 1]",-792423,2,False,df8,False,S_4,,1/9,False
143,"[1, -4, -3, -5, -3]","[1, 1]",-120263,2,False,df8,False,S_4,,1,True
144,"[1, -4, -3, -3, 2]","[1, 1]",-121207,2,False,df8,False,S_4,,1,True
145,"[1, -4, 0, -3, -5]","[1, 1]",-267179,2,False,df8,False,S_4,,1,True
146,"[1, -4, 0, 7, -6]","[1, 1]",-59387,2,False,df8,True,S_4,,1,True
147,"[1, -4, 1, 5, -8]","[1, 1]",-157927,2,False,df8,True,S_4,,1,True
148,"[1, -4, 1, 5, -7]","[1, 1]",-104231,2,False,df8,True,S_4,,1,True
149,"[1, -4, 1, 5, -6]","[1, 1]",-63079,2,False,df8,True,S_4,,1,True
150,"[1, -4, 1, 5, 7]","[1, 1]",29273,2,False,df8,True,S_4,,1,True
151,"[1, -4, 1, 5, 8]","[1, 1]",56089,2,False,df8,True,S_4,,1,True
152,"[1, -4, 1, 7, 7]","[1, 1]",93401,2,False,df8,True,S_4,,1,True
153,"[1, -4, 1, 7, 8]","[1, 1]",142745,2,False,df8,True,S_4,,1,True
154,"[1, -4, 2, -8, 2]","[1, 1]",-159232,2,False,df8,False,S_4,,1,True
155,"[1, -4, 2, 3, -8]","[1, 1]",-149915,2,False,df8,True,S_4,,1,True
156,"[1, -4, 2, 3, -6]","[1, 1]",-63003,2,False,df8,True,S_4,,1,True
157,"[1, -4, 2, 3, 4]","[1, 1]",2917,2,False,df8,True,S_4,,1,True
158,"[1, -4, 2, 3, 6]","[1, 1]",28389,2,False,df8,True,S_4,,1,True
159,"[1, -4, 2, 3, 8]","[1, 1]",86629,2,False,df8,True,S_4,,1,True
160,"[1, -4, 2, 5, 8]","[1, 1]",189925,2,False,df8,True,S_4,,1,True
161,"[1, -4, 3, -7, 4]","[1, 1]",-84591,2,False,df8,False,S_4,,1,True
162,"[1, -4, 3, 1, 5]","[1, 1]",19089,2,False,df8,True,S_4,,1,True
163,"[1, -4, 3, 3, 8]","[1, 1]",210929,2,False,df8,True,S_4,,1,True
164,"[1, -4, 4, -1, -8]","[1, 1]",-163579,2,False,df8,True,S_4,,1,True
165,"[1, -4, 4, -1, -4]","[1, 1]",-24443,2,False,df8,True,S_4,,1,True
166,"[1, -4, 4, -1, 5]","[1, 1]",19045,2,False,df8,True,S_4,,1,True
167,"[1, -4, 4, -1, 7]","[1, 1]",62501,2,False,df8,True,S_4,,1,True
168,"[1, -4, 4, -1, 8]","[1, 1]",98053,2,False,df8,True,S_4,,1,True
169,"[1, -4, 4, 1, 8]","[1, 1]",204485,2,False,df8,True,S_4,,1,True
170,"[1, -4, 4, 7, 2]","[1, 1]",2981,2,False,df8,False,S_4,,1,True
171,"[1, -4, 5, -3, -5]","[1, 1]",-59159,2,False,df8,True,S_4,,1,True
172,"[1, -4, 5, -3, -4]","[1, 1]",-34583,2,False,df8,True,S_4,,1,True
173,"[1, -4, 5, -3, 6]","[1, 1]",28137,2,False,df8,True,S_4,,1,True
174,"[1, -4, 5, -3, 7]","[1, 1]",49897,2,False,df8,True,S_4,,1,True
175,"[1, -4, 5, -3, 8]","[1, 1]",80617,2,False,df8,True,S_4,,1,True
176,"[1, 1, 5, -6, -7]","[1, 1]",-551519,2,False,df8,False,S_4,,1,True
177,"[1, 1, 5, -5, -4]","[1, 1]",-228236,2,False,df8,False,S_4,,1,True
178,"[1, 1, 6, -2, 6]","[1, 1]",101876,2,False,df8,False,S_4,,1,True
