coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, 7, 5, 5, 7]",[2],-1374075,S_4,1/25,False
"[1, 7, 5, 5, 8]",[1],-1842316,S_4,1,True
"[1, 7, 5, 6, -8]",[1],-3728588,S_4,1/4,False
"[1, 7, 5, 6, -7]","[1, 0]",-2971103,S_4,1,True
"[1, 7, 5, 6, -6]",[1],-2305992,S_4,1,True
"[1, 7, 5, 6, -5]",[1],-1731719,S_4,1,True
"[1, 7, 5, 6, -4]",[1],-1246748,S_4,1/4,False
"[1, 7, 5, 6, -3]",[1],-849543,S_4,1,True
"[1, 7, 5, 6, -2]",[1],-538568,S_4,1,True
"[1, 7, 5, 6, -1]",[2],-312287,S_4,1,True
"[1, 7, 5, 6, 1]","[1, 2]",-107663,S_4,1,True
"[1, 7, 5, 6, 2]",[1],-126248,S_4,1,True
"[1, 7, 5, 6, 3]",[1],-223383,S_4,1,True
"[1, 7, 5, 6, 4]",[1],-397532,S_4,1/4,False
"[1, 7, 5, 6, 5]",[1],-647159,S_4,1,True
"[1, 7, 5, 6, 6]",[2],-970728,S_4,1,True
"[1, 7, 5, 6, 8]",[2],-1833548,S_4,1/4,False
"[1, 7, 5, 7, -8]",[1],-4108512,S_4,1/4,False
"[1, 7, 5, 7, -7]",[1],-3308459,S_4,1,True
"[1, 7, 5, 7, -6]",[1],-2603468,S_4,1,True
"[1, 7, 5, 7, -5]","[1, 0]",-1992003,S_4,1,True
"[1, 7, 5, 7, -4]",[1],-1472528,S_4,1/4,False
"[1, 7, 5, 7, -3]",[1],-1043507,S_4,1,True
"[1, 7, 5, 7, -2]",[1],-703404,S_4,1/81,False
"[1, 7, 5, 7, -1]",[2],-450683,S_4,1,True
"[1, 7, 5, 7, 1]",[2],-201243,D_4,1,True
"[1, 7, 5, 7, 2]",[1],-201452,S_4,1,True
"[1, 7, 5, 7, 3]",[2],-282899,S_4,1,True
"[1, 7, 5, 7, 5]",[1],-683363,S_4,1,True
"[1, 7, 5, 7, 6]",[1],-999308,S_4,1,True
"[1, 7, 5, 7, 7]",[2],-1390347,S_4,1/9,False
"[1, 7, 5, 8, -8]",[1],-4540896,S_4,1/4,False
"[1, 7, 5, 8, -7]",[1],-3697423,S_4,1,True
"[1, 7, 5, 8, -6]",[1],-2951700,S_4,1,True
"[1, 7, 5, 8, -5]","[2, 1]",-2302191,S_4,1,True
"[1, 7, 5, 8, -4]",[1],-1747360,S_4,1/4,False
"[1, 7, 5, 8, -3]",[1],-1285671,S_4,1,True
"[1, 7, 5, 8, -2]",[1],-915588,S_4,1,True
"[1, 7, 5, 8, -1]",[2],-635575,S_4,1,True
"[1, 7, 5, 8, 1]","[1, 2]",-339615,S_4,1,True
"[1, 7, 5, 8, 2]",[1],-320596,S_4,1,True
"[1, 7, 5, 8, 3]",[1],-385503,S_4,1,True
"[1, 7, 5, 8, 4]",[1],-532800,S_4,1/16,False
"[1, 7, 5, 8, 5]",[2],-760951,S_4,1,True
"[1, 7, 5, 8, 6]",[1],-1068420,S_4,1,True
"[1, 7, 5, 8, 7]",[1],-1453671,S_4,1,True
"[1, 7, 5, 8, 8]",[2],-1915168,S_4,1/4,False
"[1, 7, 6, -8, -7]",[4],214933,D_4,1,True
"[1, 7, 6, -8, -5]",[2],422685,S_4,1,True
"[1, 7, 6, -8, -4]",[1],465232,S_4,1/4,False
"[1, 7, 6, -8, -3]",[1],468941,S_4,1,True
"[1, 7, 6, -8, -2]","[1, 0]",435348,S_4,1,True
"[1, 7, 6, -8, -1]",[3],365989,S_4,1,True
"[1, 7, 6, -8, 1]","[5, 2]",126117,S_4,1/9,False
"[1, 7, 6, -8, 2]",[1],-41324,S_4,1,True
"[1, 7, 6, -8, 3]",[1],-238387,S_4,1,True
"[1, 7, 6, -8, 4]",[1],-463536,S_4,1/4,False
"[1, 7, 6, -8, 5]",[1],-715235,S_4,1,True
"[1, 7, 6, -8, 6]",[1],-991948,S_4,1,True
"[1, 7, 6, -8, 7]",[1],-1292139,S_4,1,True
"[1, 7, 6, -8, 8]",[1],-1614272,S_4,1/64,False
"[1, 7, 6, -7, -8]",[3],-177871,S_4,1,True
"[1, 7, 6, -7, -6]","[1, 3]",169537,S_4,1,True
"[1, 7, 6, -7, -5]",[1],275576,S_4,1,True
"[1, 7, 6, -7, -4]","[1, 0]",338553,S_4,1,True
"[1, 7, 6, -7, -3]","[1, 0]",360004,S_4,1/4,False
"[1, 7, 6, -7, -2]","[1, 1]",341465,S_4,1,True
"[1, 7, 6, -7, -1]",[2],284472,S_4,1,True
"[1, 7, 6, -7, 1]",[4],61268,D_4,1/4,False
"[1, 7, 6, -7, 3]",[2],-297320,S_4,1,True
"[1, 7, 6, -7, 4]",[1],-523543,S_4,1,True
"[1, 7, 6, -7, 5]",[1],-779004,S_4,1/4,False
"[1, 7, 6, -7, 6]",[1],-1062167,S_4,1,True
"[1, 7, 6, -7, 7]",[1],-1371496,S_4,1,True
"[1, 7, 6, -7, 8]",[1],-1705455,S_4,1,True
"[1, 7, 6, -6, -7]",[3],-173371,S_4,1,True
"[1, 7, 6, -6, -5]",[2],134509,S_4,1,True
"[1, 7, 6, -6, -4]","[2, 0]",219056,S_4,1/4,False
"[1, 7, 6, -6, -3]","[1, 2]",259389,S_4,1,True
"[1, 7, 6, -6, -2]",[1],257044,S_4,1,True
"[1, 7, 6, -6, -1]",[2],213557,S_4,1,True
"[1, 7, 6, -6, 1]","[0, 3, 3]",9301,S_4,1,True
"[1, 7, 6, -6, 2]",[1],-148396,S_4,1,True
"[1, 7, 6, -6, 3]",[2],-341091,S_4,1,True
"[1, 7, 6, -6, 5]",[2],-825331,S_4,1,True
"[1, 7, 6, -6, 6]",[1],-1113804,S_4,1,True
"[1, 7, 6, -6, 7]",[1],-1431131,S_4,1,True
"[1, 7, 6, -6, 8]",[1],-1775776,S_4,1/4,False
"[1, 7, 6, -5, -8]",[2],-618543,S_4,1,True
"[1, 7, 6, -5, -7]",[2],-361364,S_4,1,True
"[1, 7, 6, -5, -6]",[2],-155695,S_4,1,True
"[1, 7, 6, -5, -4]",[2],107257,S_4,1,True
"[1, 7, 6, -5, -3]",[1],167612,S_4,1,True
"[1, 7, 6, -5, -2]",[1],182601,S_4,1,True
"[1, 7, 6, -5, 1]",[2],-29268,S_4,1,True
"[1, 7, 6, -5, 2]",[1],-180383,S_4,1,True
"[1, 7, 6, -5, 3]",[1],-369184,S_4,1/4,False
"[1, 7, 6, -5, 4]",[1],-594135,S_4,1/81,False
"[1, 7, 6, -5, 5]",[2],-853700,S_4,1,True
"[1, 7, 6, -5, 7]",[2],-1470528,S_4,1/16,False
"[1, 7, 6, -5, 8]",[1],-1824719,S_4,1,True
"[1, 7, 6, -4, -8]",[1],-834304,S_4,1/64,False
"[1, 7, 6, -4, -7]","[1, 2]",-545211,S_4,1,True
"[1, 7, 6, -4, -6]","[0, 1]",-310316,S_4,1,True
"[1, 7, 6, -4, -5]",[2],-128083,S_4,1,True
"[1, 7, 6, -4, -3]",[2],84541,S_4,1,True
"[1, 7, 6, -4, -2]",[1],118004,S_4,1,True
"[1, 7, 6, -4, -1]",[3],104949,D_4,1/9,False
"[1, 7, 6, -4, 1]",[2],-54571,S_4,1,True
"[1, 7, 6, -4, 2]",[1],-197964,S_4,1,True
"[1, 7, 6, -4, 3]",[1],-381731,S_4,1,True
"[1, 7, 6, -4, 4]",[1],-604336,S_4,1/4,False
"[1, 7, 6, -4, 5]","[1, 0]",-864243,S_4,1,True
"[1, 7, 6, -4, 6]",[1],-1159916,S_4,1,True
"[1, 7, 6, -4, 7]","[2, 0]",-1489819,S_4,1,True
"[1, 7, 6, -3, -8]",[1],-1047839,S_4,1,True
"[1, 7, 6, -3, -7]",[1],-725692,S_4,1/4,False
"[1, 7, 6, -3, -6]","[0, 1]",-460431,S_4,1,True
"[1, 7, 6, -3, -5]",[1],-250520,S_4,1,True
"[1, 7, 6, -3, -4]",[2],-94423,S_4,1/49,False
"[1, 7, 6, -3, -2]","[0, 2, 0, 3, 1]",62473,S_4,1,True
"[1, 7, 6, -3, -1]",[3],66344,S_4,1,True
"[1, 7, 6, -3, 1]",[2],-67388,S_4,1/4,False
"[1, 7, 6, -3, 2]",[1],-201919,S_4,1,True
"[1, 7, 6, -3, 3]",[1],-379512,S_4,1,True
"[1, 7, 6, -3, 4]",[1],-598631,S_4,1,True
"[1, 7, 6, -3, 5]",[1],-857740,S_4,1/4,False
"[1, 7, 6, -3, 6]",[1],-1155303,S_4,1,True
"[1, 7, 6, -3, 7]",[1],-1489784,S_4,1,True
"[1, 7, 6, -3, 8]",[1],-1859647,S_4,1,True
"[1, 7, 6, -2, -8]","[0, 1]",-1260576,S_4,1/4,False
"[1, 7, 6, -2, -7]",[1],-904235,S_4,1,True
"[1, 7, 6, -2, -6]",[1],-607468,S_4,1,True
"[1, 7, 6, -2, -5]",[1],-368739,S_4,1,True
"[1, 7, 6, -2, -4]",[1],-186512,S_4,1/4,False
"[1, 7, 6, -2, -3]","[0, 2]",-59251,S_4,1,True
