coefficients,signature,discriminant
"[1, -7, -6, -8, -3]",[1],-735539
"[1, -7, -6, -8, -2]",[1],-586732
"[1, -7, -6, -8, -1]",[2],-686043
"[1, -7, -6, -8, 1]","[3, 2]",-1622875
"[1, -7, -6, -8, 2]",[1],-2457324
"[1, -7, -6, -8, 3]",[1],-3533747
"[1, -7, -6, -8, 4]",[1],-4850608
"[1, -7, -6, -8, 5]",[1],-6406371
"[1, -7, -6, -8, 6]",[1],-8199500
"[1, -7, -6, -8, 7]",[1],-10228459
"[1, -7, -6, -8, 8]",[1],-12491712
"[1, -7, -6, -7, -8]",[2],-5399703
"[1, -7, -6, -7, -6]",[1],-2719111
"[1, -7, -6, -7, -5]",[1],-1756944
"[1, -7, -6, -7, -4]",[1],-1044815
"[1, -7, -6, -7, -3]",[2],-581188
"[1, -7, -6, -7, -2]","[0, 1, 0]",-364527
"[1, -7, -6, -7, -1]",[2],-393296
"[1, -7, -6, -7, 2]",[1],-1936823
"[1, -7, -6, -7, 3]",[1],-2931952
"[1, -7, -6, -7, 4]",[1],-4164831
"[1, -7, -6, -7, 5]",[1],-5633924
"[1, -7, -6, -7, 6]",[1],-7337695
"[1, -7, -6, -7, 7]",[1],-9274608
"[1, -7, -6, -7, 8]",[1],-11443127
"[1, -7, -6, -6, -7]",[2],-4106875
"[1, -7, -6, -6, -6]",[1],-2838348
"[1, -7, -6, -6, -5]",[1],-1818707
"[1, -7, -6, -6, -4]",[1],-1046416
"[1, -7, -6, -6, -3]","[1, 0]",-519939
"[1, -7, -6, -6, -2]",[1],-237740
"[1, -7, -6, -6, -1]","[2, 0]",-198283
"[1, -7, -6, -6, 1]","[3, 3]",-841451
"[1, -7, -6, -6, 2]","[1, 1]",-1521004
"[1, -7, -6, -6, 3]",[1],-2437155
"[1, -7, -6, -6, 4]",[1],-3588368
"[1, -7, -6, -6, 5]",[1],-4973107
"[1, -7, -6, -6, 6]",[1],-6589836
"[1, -7, -6, -6, 7]",[1],-8437019
"[1, -7, -6, -6, 8]",[1],-10513120
"[1, -7, -6, -5, -8]",[2],-5916487
"[1, -7, -6, -5, -6]",[2],-3026759
"[1, -7, -6, -5, -5]",[1],-1951960
"[1, -7, -6, -5, -4]",[1],-1121823
"[1, -7, -6, -5, -3]",[1],-534812
"[1, -7, -6, -5, -2]",[2],-189391
"[1, -7, -6, -5, -1]",[2],-84024
"[1, -7, -6, -5, 1]",[2],-587308
"[1, -7, -6, -5, 2]",[1],-1192887
"[1, -7, -6, -5, 3]",[1],-2032376
"[1, -7, -6, -5, 4]",[1],-3104239
"[1, -7, -6, -5, 5]",[1],-4406940
"[1, -7, -6, -5, 6]",[1],-5938943
"[1, -7, -6, -5, 7]",[1],-7698712
"[1, -7, -6, -5, 8]",[1],-9684711
"[1, -7, -6, -4, -8]",[1],-6255360
"[1, -7, -6, -4, -7]",[2],-4639163
"[1, -7, -6, -4, -5]",[2],-2140371
"[1, -7, -6, -4, -4]",[1],-1254704
"[1, -7, -6, -4, -3]",[1],-609475
"[1, -7, -6, -4, -2]",[1],-203148
"[1, -7, -6, -4, -1]",[2],-34187
"[1, -7, -6, -4, 1]",[2],-402219
"[1, -7, -6, -4, 2]",[1],-936140
"[1, -7, -6, -4, 3]",[1],-1701283
"[1, -7, -6, -4, 4]",[1],-2696112
"[1, -7, -6, -4, 5]",[1],-3919091
"[1, -7, -6, -4, 6]",[1],-5368684
"[1, -7, -6, -4, 7]",[1],-7043355
"[1, -7, -6, -4, 8]",[1],-8941568
"[1, -7, -6, -3, -8]",[1],-6626759
"[1, -7, -6, -3, -7]",[1],-4965412
"[1, -7, -6, -3, -6]",[2],-3546423
"[1, -7, -6, -3, -4]",[2],-1429375
"[1, -7, -6, -3, -3]",[1],-728244
"[1, -7, -6, -3, -2]",[1],-263327
"[1, -7, -6, -3, -1]","[0, 3]",-33088
"[1, -7, -6, -3, 1]",[2],-270500
"[1, -7, -6, -3, 2]",[1],-735079
"[1, -7, -6, -3, 3]",[1],-1428192
"[1, -7, -6, -3, 4]","[0, 1]",-2348303
"[1, -7, -6, -3, 5]",[1],-3493876
"[1, -7, -6, -3, 6]",[1],-4863375
"[1, -7, -6, -3, 7]",[1],-6455264
"[1, -7, -6, -3, 8]",[1],-8268007
"[1, -7, -6, -2, -8]",[1],-7015648
"[1, -7, -6, -2, -7]",[1],-5311467
"[1, -7, -6, -2, -6]",[1],-3846956
"[1, -7, -6, -2, -5]",[2],-2620579
"[1, -7, -6, -2, -3]",[2],-876083
"[1, -7, -6, -2, -2]","[1, 0]",-354892
"[1, -7, -6, -2, -1]",[2],-65691
"[1, -7, -6, -2, 1]",[3],-177115
"[1, -7, -6, -2, 2]",[1],-574668
"[1, -7, -6, -2, 3]",[1],-1198067
"[1, -7, -6, -2, 4]",[1],-2045776
"[1, -7, -6, -2, 5]",[1],-3116259
"[1, -7, -6, -2, 6]",[1],-4407980
"[1, -7, -6, -2, 7]",[1],-5919403
"[1, -7, -6, -2, 8]",[1],-7648992
"[1, -7, -6, -1, -8]",[1],-7407639
"[1, -7, -6, -1, -7]",[1],-5662940
"[1, -7, -6, -1, -6]",[1],-4155223
"[1, -7, -6, -1, -5]",[1],-2882952
"[1, -7, -6, -1, -4]",[2],-1844591
"[1, -7, -6, -1, -2]",[2],-463455
"[1, -7, -6, -1, -1]",[2],-117608
"[1, -7, -6, -1, 1]",[2],-107676
