coefficients,signature,discriminant,number,type_i,source,type_II,gal_group,type_I
"[1, 4, 7, 7, -8]","[1, 1]",-358015,2,False,df8,True,S_4,
"[1, 4, 8, 7, -8]","[1, 1]",-312699,2,False,df8,True,S_4,
"[1, 5, -8, -7, -2]","[1, 1]",-374527,2,False,df8,False,S_4,
"[1, 6, -3, 5, -5]","[1, 1]",-1168295,2,False,df8,False,S_4,
"[1, 6, -1, -1, 2]","[1, 1]",-145239,2,False,df8,False,S_4,
"[1, 6, 1, 5, -4]","[1, 1]",-758543,2,False,df8,False,S_4,
"[1, 6, 2, 3, -3]","[1, 1]",-334875,2,False,df8,False,S_4,
"[1, 6, 3, -3, 3]","[1, 1]",-201015,2,False,df8,False,S_4,
"[1, 6, 6, -8, 8]","[1, 1]",66560,2,False,df8,True,D_4,
"[1, 6, 7, -7, 4]","[1, 1]",65057,2,False,df8,True,S_4,
"[1, 6, 7, -7, 5]","[1, 1]",110425,2,False,df8,True,S_4,
"[1, 6, 7, -7, 6]","[1, 1]",169649,2,False,df8,True,S_4,
"[1, 6, 7, -7, 8]","[1, 1]",335809,2,False,df8,True,S_4,
"[1, 6, 8, -4, 3]","[1, 1]",45904,2,False,df8,True,S_4,
"[1, 6, 8, -4, 6]","[1, 1]",188224,2,False,df8,True,S_4,
"[1, 6, 8, -4, 7]","[1, 1]",263632,2,False,df8,True,S_4,
"[1, 6, 8, -4, 8]","[1, 1]",355584,2,False,df8,True,S_4,
"[1, 7, 1, -7, 7]","[1, 1]",-2251291,2,False,df8,False,S_4,
"[1, 7, 2, 3, -4]","[1, 1]",-1047311,2,False,df8,False,S_4,
"[1, 7, 4, -2, 4]","[1, 1]",-705568,2,False,df8,False,S_4,
"[1, 7, 4, 1, -4]","[1, 1]",-686951,2,False,df8,False,S_4,
"[1, 7, 4, 7, 2]","[1, 1]",-295823,2,False,df8,False,S_4,
"[1, 7, 6, 7, -2]","[1, 1]",-629127,2,False,df8,True,S_4,
"[1, 8, -8, -2, 5]","[1, 1]",-2555056,2,False,df8,False,S_4,
"[1, 8, 7, 1, 5]","[1, 1]",-1392583,2,False,df8,False,S_4,
"[1, 8, 7, 7, -7]","[1, 1]",-5007751,2,False,df8,False,S_4,
"[1, 8, 8, -3, -2]","[1, 1]",190453,2,False,df8,False,S_4,
"[1, 8, 8, 3, -4]","[1, 1]",-977675,2,False,df8,False,S_4,
"[1, 7, 15, 15, 8]","[1, 1]",-13036,2,False,df16,False,S_4,
"[1, 2, 3, 1, -13]","[1, 1]",-606447,2,False,df16,True,S_4,
"[1, 2, -7, -9, -12]","[1, 1]",-1813119,2,False,df16,True,S_4,
"[1, 12, 15, 13, 13]","[1, 1]",-26613743,2,False,df16,False,S_4,
"[1, -2, -13, 13, -7]","[1, 1]",-3197399,2,False,df16,True,S_4,
"[1, -4, 1, -9, 4]","[1, 1]",-434983,2,False,df16,False,S_4,
"[1, 2, 12, 10, 16]","[1, 1]",684752,2,False,df16,True,S_4,
"[1, 6, 7, -5, 13]","[1, 1]",575825,2,False,df16,True,S_4,
"[1, 0, -6, 1, -15]","[1, 1]",-2198043,2,False,df16,True,S_4,
"[1, 0, 16, 1, 10]","[1, 1]",7471589,2,False,df16,True,S_4,
