coefficients,signature,discriminant
"[1, -7, 23, 20, 37]",[1],301098777
"[1, -12, -63, 3, 36]",[1],11837141145
"[1, 3, 21, 4, 36]",[1],55726704
"[1, 35, -54, -28, 6]",[1],19728760532
"[1, -22, 58, 19, -23]",[1],5790041813
"[1, -59, 51, -44, -24]",[1],-366944170000
"[1, 6, -49, 63, -12]","[1, 0]",200988537
"[1, 19, 38, 25, -58]",[1],-7297035959
"[1, 42, 62, -55, 49]",[1],-364188229211
"[1, -61, 32, -56, 13]",[1],-117719248707
"[1, -40, -33, -44, -5]",[1],-14186491024
"[1, 58, -9, 60, 9]",[1],-212999947920
"[1, 47, -6, 5, 21]",[1],-60172618108
"[1, -27, -3, -58, 40]",[1],-43012293836
"[1, -60, 3, -13, 43]",[1],-639946064543
"[1, -31, -23, 58, -28]",[1],-17249740732
"[1, -49, -13, 54, 64]",[1],-481230440972
"[1, -13, 61, -18, 25]",[1],1172227025
"[1, 36, 30, 16, 41]",[2],-58015333120
"[1, -34, 5, -21, 52]",[1],-93459874007
"[1, 0, 52, 39, -48]",[1],-7905680571
"[1, -36, 53, -20, 4]",[1],-248623616
"[1, -18, -20, -1, -24]",[1],-2450896651
"[1, 49, -59, 58, -55]",[1],-279799176767
"[1, -40, -16, -40, -13]",[1],-18967315712
"[1, 50, -58, -29, 52]",[1],-165019392531
"[1, 12, 38, -11, 30]",[1],201960325
"[1, -14, -46, -16, 40]",[1],-1243699200
"[1, -52, 54, -32, -8]",[1],-39982471168
"[1, -26, 30, -51, -11]",[1],-11150570075
"[1, -56, 58, -23, 47]",[1],-457726654619
"[1, 7, 9, 26, 49]",[2],-53326903
"[1, -4, 57, -5, -56]",[1],-9520839031
"[1, 37, 54, 15, -34]",[1],-42575081863
"[1, -8, -27, 4, -48]",[1],-1838966080
"[1, 40, 55, 23, 30]",[1],-42275089607
"[1, 49, -24, 37, 36]",[1],-302616858199
"[1, -57, -57, -14, -41]",[1],-512699034983
"[1, 3, 4, 63, -40]",[1],-549862279
"[1, 9, -36, -1, -37]",[1],-2660203660
"[1, 23, -25, 32, 13]",[1],-5530426143
"[1, -59, 48, 27, 46]",[1],-894931531943
"[1, -15, -4, -16, 52]",[1],-4441694000
"[1, 41, 22, 59, 35]",[1],-88637072792
"[1, 64, -9, -52, 29]",[1],-172299359088
"[1, -3, 12, 24, 32]",[1],59242496
"[1, -14, -16, -48, -22]",[1],-1231376576
"[1, -16, 50, 29, 3]",[1],33596917
"[1, 36, -7, -35, -62]",[1],-182774297687
"[1, 51, -45, -3, -43]",[1],-427788195403
"[1, 38, 38, -12, 60]",[1],-214827055872
"[1, -61, 15, -46, -27]",[1],-424501227103
"[1, -44, -1, 31, -6]",[1],6289483297
